date,product,role,long_oi,short_oi,net_oi,long_trade,short_trade,net_trade
2018-07-23,小型臺指,外資,5909,1791,4118,42699,44627,-1928
2018-07-23,小型臺指,投信,148,0,148,2,0,2
2018-07-23,小型臺指,自營商,18998,11353,7645,10535,9126,1409
2018-07-23,臺股期貨,外資,76820,32220,44600,58790,58642,148
2018-07-23,臺股期貨,投信,2559,26439,-23880,51,917,-866
2018-07-23,臺股期貨,自營商,6688,12642,-5954,18299,16856,1443
2018-07-24,小型臺指,外資,4770,2404,2366,31278,33030,-1752
2018-07-24,小型臺指,投信,151,0,151,3,0,3
2018-07-24,小型臺指,自營商,19077,11274,7803,6730,6512,218
2018-07-24,臺股期貨,外資,74125,32069,42056,44008,46552,-2544
2018-07-24,臺股期貨,投信,2585,26428,-23843,75,38,37
2018-07-24,臺股期貨,自營商,8300,12552,-4252,13822,12135,1687
2018-07-25,小型臺指,外資,4856,2191,2665,29551,29198,353
2018-07-25,小型臺指,投信,125,0,125,0,26,-26
2018-07-25,小型臺指,自營商,18661,11066,7595,6531,6872,-341
2018-07-25,臺股期貨,外資,75416,30641,44775,43645,40926,2719
2018-07-25,臺股期貨,投信,2561,26414,-23853,34,44,-10
2018-07-25,臺股期貨,自營商,7519,12500,-4981,12305,13034,-729
2018-07-26,小型臺指,外資,8821,2071,6750,35794,31709,4085
2018-07-26,小型臺指,投信,126,0,126,1,0,1
2018-07-26,小型臺指,自營商,19718,11737,7981,7680,7326,354
2018-07-26,臺股期貨,外資,76570,29675,46895,48596,46476,2120
2018-07-26,臺股期貨,投信,2560,26396,-23836,72,55,17
2018-07-26,臺股期貨,自營商,8384,13309,-4925,12286,12222,64
2018-07-27,小型臺指,外資,12148,2008,10140,30075,26677,3398
2018-07-27,小型臺指,投信,126,0,126,0,0,0
2018-07-27,小型臺指,自營商,21695,14496,7199,7660,8442,-782
2018-07-27,臺股期貨,外資,82234,29648,52586,46306,40617,5689
2018-07-27,臺股期貨,投信,2640,26121,-23481,399,44,355
2018-07-27,臺股期貨,自營商,9297,15962,-6665,12531,14271,-1740
2018-07-30,小型臺指,外資,11106,2085,9021,36089,37204,-1115
2018-07-30,小型臺指,投信,126,0,126,0,0,0
2018-07-30,小型臺指,自營商,21775,13295,8480,7625,6664,961
2018-07-30,臺股期貨,外資,81067,29071,51996,51466,52057,-591
2018-07-30,臺股期貨,投信,2623,26132,-23509,24,52,-28
2018-07-30,臺股期貨,自營商,7493,14784,-7291,14730,15276,-546
2018-07-31,小型臺指,外資,11717,1947,9770,30801,30048,753
2018-07-31,小型臺指,投信,127,0,127,1,0,1
2018-07-31,小型臺指,自營商,22393,13588,8805,9023,8658,365
2018-07-31,臺股期貨,外資,82093,28281,53812,43330,41515,1815
2018-07-31,臺股期貨,投信,2591,26132,-23541,76,108,-32
2018-07-31,臺股期貨,自營商,7798,15365,-7567,15334,15620,-286
2018-08-01,小型臺指,外資,12115,1950,10165,26896,26576,320
